ASM330LHH: | Acc[mg]: 0 -1 1019 | Gyr[mdps]: 770 -1470 -490 |
ASM330LHH: | Acc[mg]: 0 0 1019 | Gyr[mdps]: 770 -1470 -560 |
ASM330LHH: | Acc[mg]: 0 0 1018 | Gyr[mdps]: 700 -1470 -490 |
ASM330LHH: | Acc[mg]: 0 -1 1021 | Gyr[mdps]: 700 -1400 -490 |
ASM330LHH: | Acc[mg]: 0 0 1020 | Gyr[mdps]: 700 -1540 -490 |
ASM330LHH: | Acc[mg]: 0 0 1020 | Gyr[mdps]: 840 -1470 -490 |
ASM330LHH: | Acc[mg]: 1 0 1020 | Gyr[mdps]: 840 -1470 -490 |
ASM330LHH: | Acc[mg]: 1 0 1018 | Gyr[mdps]: 700 -1470 -490 |
ASM330LHH: | Acc[mg]: 0 -1 1020 | Gyr[mdps]: 770 -1470 -490 |
ASM330LHH: | Acc[mg]: 1 -1 1020 | Gyr[mdps]: 840 -1400 -490 |
ASM330LHH: | Acc[mg]: 0 -1 1018 | Gyr[mdps]: 840 -1400 -560 |
ASM330LHH: | Acc[mg]: 1 -6 1018 | Gyr[mdps]: 770 -1400 -490 |
ASM330LHH: | Acc[mg]: 0 -3 1019 | Gyr[mdps]: 770 -1470 -490 |
ASM330LHH: | Acc[mg]: 24 -5 1016 | Gyr[mdps]: 700 -1540 -7210 |
ASM330LHH: | Acc[mg]: 17 5 1027 | Gyr[mdps]: 1820 8540 -7980 |
ASM330LHH: | Acc[mg]: -136 -217 977 | Gyr[mdps]: -15190 770 17990 |
ASM330LHH: | Acc[mg]: -25 -370 1147 | Gyr[mdps]: -21910 9870 -13160 |
ASM330LHH: | Acc[mg]: -34 305 997 | Gyr[mdps]: -8960 -15120 21770 |
ASM330LHH: | Acc[mg]: -329 -154 851 | Gyr[mdps]: 5460 -18900 34860 |
ASM330LHH: | Acc[mg]: 117 152 956 | Gyr[mdps]: -7560 -4760 -8400 |
ASM330LHH: | Acc[mg]: -103 -16 1027 | Gyr[mdps]: -70 -2520 210 |
ASM330LHH: | Acc[mg]: -114 -4 1032 | Gyr[mdps]: 350 3080 -1820 |
ASM330LHH: | Acc[mg]: -11 120 945 | Gyr[mdps]: 40250 3150 -28420 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
ASM330LHH: | Acc[mg]: 0 0 0 | Gyr[mdps]: 0 0 0 |
